Case_ID;57b428a6cef25a0a0d6681ac;;;;;;;;;;;;;;;;;;;;;;;;;;
Variant_ID;57b43118cef25a0a0d6681b1;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Buildings;;;;;;;;;;;;;;;;;;;;;;;;;;
building_ID;street_name;zip_code;footprint_area;building_type;amount_of_units;function;building_year;average_height(m);levels;building_style;roof_material;window_overall_ratio;EPCscore;heating_system;glazing_type;ventilation_type;wall_U;window_U;roof_U;occupants;heated_floor_area(m2);rent_per_month(euro);cost_electricity(euro/year);cost_district_heating(euro/year);cost_natural_gas(euro/year);cost_other_fuel(euro/year);operating_and_maintenance_costs(euro/year)
2AA;Lodewijk De Raetstraat;2020;87,57;SFH semi-detached;1;residential;1957;7,46;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2F;Lodewijk De Raetstraat;2020;92,79;SFH semi-detached;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2G;Lodewijk De Raetstraat;2020;65,15;SFH semi-detached;1;residential;1957;7,38;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4AE;Lodewijk De Raetstraat;2020;113,12;SFH semi-detached;1;residential;1957;7,46;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4D;Scheibeekstraat;2020;87,29;SFH semi-detached;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4K;Scheibeekstraat;2020;107,10;SFH semi-detached;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4M;Scheibeekstraat;2020;106,20;SFH semi-detached;1;residential;1957;7,54;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4N;Lodewijk De Raetstraat;2020;106,43;SFH semi-detached;1;residential;1957;7,53;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4Q;Lodewijk De Raetstraat;2020;116,91;SFH semi-detached;1;residential;1957;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4S;Scheibeekstraat;2020;85,16;SFH semi-detached;1;residential;1957;7,43;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4T;Lodewijk De Raetstraat;2020;111,63;SFH semi-detached;1;residential;1957;7,55;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
